question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count
2025-091_a_1,"Are you familiar with very low carbohydrate diets, such as a Keto or carnivore diet?",Verasight JSM Omnibus Survey,are-you-familiar-with-very-low-carbohydrate-diets-such-as-a-keto-or-carnivore-diet,https://reports.verasight.io/reports/jsm-2025#are-you-familiar-with-very-low-carbohydrate-diets-such-as-a-keto-or-carnivore-diet,1000,1000.0000000000151,+/- 3.1%,false,3
2025-091_a_10,To what extent do you agree or disagree with the following statement? My parent was close with their parents before I was born.,Verasight JSM Omnibus Survey,to-what-extent-do-you-agree-or-disagree-with-the-following-statement-my-parent-was-close-with-their-parents-before-i-was-born,https://reports.verasight.io/reports/jsm-2025#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-my-parent-was-close-with-their-parents-before-i-was-born,1000,1000.0000000000151,+/- 3.1%,false,7
2025-091_a_11,Did you have a pet growing up?,Verasight JSM Omnibus Survey,did-you-have-a-pet-growing-up,https://reports.verasight.io/reports/jsm-2025#did-you-have-a-pet-growing-up,1000,1000.0000000000151,+/- 3.1%,false,2
2025-091_a_12,How often do you consume alcohol?,Verasight JSM Omnibus Survey,how-often-do-you-consume-alcohol,https://reports.verasight.io/reports/jsm-2025#how-often-do-you-consume-alcohol,1000,1000.0000000000151,+/- 3.1%,false,7
2025-091_a_13,Do you consider vaping an e-cigarette to be smoking?,Verasight JSM Omnibus Survey,do-you-consider-vaping-an-e-cigarette-to-be-smoking,https://reports.verasight.io/reports/jsm-2025#do-you-consider-vaping-an-e-cigarette-to-be-smoking,1000,1000.0000000000151,+/- 3.1%,false,2
2025-091_a_14,Do you believe in climate change?,Verasight JSM Omnibus Survey,do-you-believe-in-climate-change,https://reports.verasight.io/reports/jsm-2025#do-you-believe-in-climate-change,1000,1000.0000000000151,+/- 3.1%,false,3
2025-091_a_15,"Over the next 4 years, do you think U.S. relations with other countries will become:",Verasight JSM Omnibus Survey,over-the-next-4-years-do-you-think-u-s-relations-with-other-countries-will-become,https://reports.verasight.io/reports/jsm-2025#over-the-next-4-years-do-you-think-u-s-relations-with-other-countries-will-become,1000,1000.0000000000151,+/- 3.1%,false,3
2025-091_a_16,To what extent do you agree or disagree with the following statement? A spiritual awakening/revival is needed to address the high levels of uncertainty worldwide.,Verasight JSM Omnibus Survey,to-what-extent-do-you-agree-or-disagree-with-the-following-statement-a-spiritual-awakening-revival-is-needed-to-address-the-high-levels-of-uncertainty-worldwide,https://reports.verasight.io/reports/jsm-2025#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-a-spiritual-awakening-revival-is-needed-to-address-the-high-levels-of-uncertainty-worldwide,1000,1000.0000000000151,+/- 3.1%,false,5
2025-091_a_17,"How much do you trust AI (Large Language Models such as ChatGPT, Gemini, and Grok) when it comes to its recommendations for lifestyle changes to improve your overall health?",Verasight JSM Omnibus Survey,how-much-do-you-trust-ai-large-language-models-such-as-chatgpt-gemini-and-grok-when-it-comes-to-its-recommendations-for-lifestyle-changes-to-improve-your-overall-health,https://reports.verasight.io/reports/jsm-2025#how-much-do-you-trust-ai-large-language-models-such-as-chatgpt-gemini-and-grok-when-it-comes-to-its-recommendations-for-lifestyle-changes-to-improve-your-overall-health,1000,1000.0000000000151,+/- 3.1%,false,6
2025-091_a_18,Which of the following best describes how you think AI impacts student learning?,Verasight JSM Omnibus Survey,which-of-the-following-best-describes-how-you-think-ai-impacts-student-learning,https://reports.verasight.io/reports/jsm-2025#which-of-the-following-best-describes-how-you-think-ai-impacts-student-learning,1000,1000.0000000000151,+/- 3.1%,false,7
