question_id,option_id,option_label,weighted_share,weighted_percent,weighted_n,unweighted_n,is_missing,source_url
2025-091_a_1,1,Yes,0.79688809295509,79.69,796.888092955102,800,false,https://reports.verasight.io/reports/jsm-2025#are-you-familiar-with-very-low-carbohydrate-diets-such-as-a-keto-or-carnivore-diet
2025-091_a_1,2,No,0.14613273125416695,14.61,146.13273125416916,144,false,https://reports.verasight.io/reports/jsm-2025#are-you-familiar-with-very-low-carbohydrate-diets-such-as-a-keto-or-carnivore-diet
2025-091_a_1,3,Unsure,0.0569791757907431,5.7,56.979175790743966,56,false,https://reports.verasight.io/reports/jsm-2025#are-you-familiar-with-very-low-carbohydrate-diets-such-as-a-keto-or-carnivore-diet
2025-091_a_10,1,Completely disagree,0.07040093912463402,7.04,70.40093912463509,69,false,https://reports.verasight.io/reports/jsm-2025#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-my-parent-was-close-with-their-parents-before-i-was-born
2025-091_a_10,2,Disagree,0.08403069538114276,8.4,84.03069538114403,84,false,https://reports.verasight.io/reports/jsm-2025#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-my-parent-was-close-with-their-parents-before-i-was-born
2025-091_a_10,3,Somewhat disagree,0.0830416071161639,8.3,83.04160711616515,82,false,https://reports.verasight.io/reports/jsm-2025#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-my-parent-was-close-with-their-parents-before-i-was-born
2025-091_a_10,4,Neither agree nor disagree,0.2146851257815937,21.47,214.68512578159695,207,false,https://reports.verasight.io/reports/jsm-2025#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-my-parent-was-close-with-their-parents-before-i-was-born
2025-091_a_10,5,Somewhat agree,0.16028962874546682,16.03,160.28962874546923,161,false,https://reports.verasight.io/reports/jsm-2025#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-my-parent-was-close-with-their-parents-before-i-was-born
2025-091_a_10,6,Agree,0.22477685944043932,22.48,224.7768594404427,231,false,https://reports.verasight.io/reports/jsm-2025#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-my-parent-was-close-with-their-parents-before-i-was-born
2025-091_a_10,7,Completely agree,0.16277514441055957,16.28,162.77514441056204,166,false,https://reports.verasight.io/reports/jsm-2025#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-my-parent-was-close-with-their-parents-before-i-was-born
2025-091_a_11,1,Yes,0.7818306031048405,78.18,781.8306031048523,788,false,https://reports.verasight.io/reports/jsm-2025#did-you-have-a-pet-growing-up
2025-091_a_11,2,No,0.21816939689515952,21.82,218.1693968951628,212,false,https://reports.verasight.io/reports/jsm-2025#did-you-have-a-pet-growing-up
2025-091_a_12,1,Never,0.2333434530088628,23.33,233.34345300886633,230,false,https://reports.verasight.io/reports/jsm-2025#how-often-do-you-consume-alcohol
2025-091_a_12,2,Very rarely,0.20018057263421768,20.02,200.1805726342207,202,false,https://reports.verasight.io/reports/jsm-2025#how-often-do-you-consume-alcohol
